player	mission
617	16
940	45
483	9
31	50
777	1
589	20
295	13
656	41
843	19
815	43
736	12
999	34
317	5
663	14
717	20
534	9
782	37
349	33
427	3
376	12
811	46
337	29
812	2
353	20
810	9
476	10
503	29
909	1
110	6
391	49
669	26
242	45
574	8
22	13
510	32
296	47
823	38
204	19
330	44
210	44
801	14
654	12
305	18
460	42
821	30
56	32
126	40
418	15
260	7
751	13
376	20
390	44
302	28
393	25
618	43
86	14
917	47
778	34
940	38
830	9
196	23
708	9
86	11
920	45
481	42
227	10
435	43
232	3
756	34
141	3
991	6
450	50
865	38
216	31
789	32
93	47
50	6
681	36
546	7
311	10
832	41
285	18
573	47
219	34
517	39
859	7
653	18
950	49
126	38
210	28
339	39
856	30
270	36
599	25
354	39
37	47
523	8
790	32
570	19
569	24
124	15
436	48
581	8
862	47
172	39
509	3
508	15
381	36
918	33
695	40
8	5
941	13
732	11
799	1
830	13
175	16
766	16
646	49
592	3
691	2
881	18
711	13
983	28
917	23
875	31
880	39
703	37
219	31
493	48
117	19
693	50
811	10
67	11
468	16
8	44
419	50
454	38
442	6
144	8
710	45
243	29
530	20
509	11
196	3
781	35
837	12
304	26
980	22
708	47
877	26
592	50
868	32
936	13
661	2
690	4
211	43
319	31
998	22
879	28
666	48
682	20
458	16
3	48
366	9
563	21
926	39
786	37
528	30
790	11
454	38
97	37
127	16
998	32
1	10
162	33
201	3
144	16
507	38
547	50
884	19
803	49
43	36
559	22
121	20
413	43
707	35
212	17
488	31
894	42
982	20
196	17
30	31
913	20
994	49
25	42
773	3
960	22
320	18
112	27
459	11
408	38
590	17
520	10
412	45
843	41
844	20
403	23
383	5
237	21
224	48
884	3
33	29
633	39
540	47
577	41
142	1
641	15
68	14
742	36
819	2
99	26
579	18
89	30
660	42
918	19
386	9
438	50
732	50
225	33
994	30
410	23
136	33
737	28
899	11
633	2
428	42
726	39
758	42
617	26
992	5
38	18
132	3
324	32
670	38
347	12
944	10
871	2
426	5
108	45
827	27
290	45
262	26
698	42
251	29
899	45
26	17
495	38
35	10
637	13
791	39
463	43
709	43
922	14
679	50
172	8
150	45
479	41
367	48
926	11
801	1
502	26
837	39
112	23
251	18
932	5
818	4
516	15
408	38
93	12
38	21
204	27
155	21
216	36
958	7
965	15
662	38
72	50
432	11
254	32
200	25
557	4
109	4
81	49
35	8
16	16
376	11
997	1
466	1
377	41
627	41
392	41
373	38
941	12
824	46
458	1
737	11
909	5
777	48
934	37
701	8
789	39
559	48
450	47
962	32
990	49
931	8
280	49
134	10
991	47
637	44
9	33
406	10
112	17
531	22
652	11
953	24
19	17
561	5
737	19
711	31
977	35
558	21
413	36
635	25
371	44
259	39
89	42
842	27
198	26
893	19
679	6
804	39
137	9
867	16
654	22
163	34
972	42
