player	friend
197	234
998	328
498	629
728	371
309	480
376	229
702	109
712	407
82	287
68	19
157	261
611	747
292	600
166	712
599	161
318	324
786	344
352	828
355	721
11	309
848	875
36	930
433	315
966	223
666	151
257	304
738	99
250	899
698	698
364	656
697	211
968	301
341	850
20	609
484	324
901	965
231	129
379	992
226	781
563	709
537	282
981	882
888	453
239	185
720	331
479	553
505	631
650	956
456	671
351	409
622	965
935	445
556	432
520	641
696	812
85	130
768	592
790	795
218	124
121	932
845	120
54	797
939	209
285	562
990	105
803	103
252	707
850	473
677	549
558	46
772	800
817	486
697	462
49	143
281	43
793	287
18	122
640	681
882	743
780	9
454	766
478	635
664	689
638	705
916	12
60	765
478	646
694	928
87	390
432	693
630	808
319	690
4	575
122	104
231	377
433	636
186	336
33	1
829	41
556	115
587	173
89	643
259	326
23	115
631	193
614	636
75	652
270	457
413	282
309	483
245	685
696	731
523	773
759	275
591	440
703	826
524	863
101	900
515	266
345	187
194	495
690	834
356	315
263	277
200	997
62	296
939	345
516	930
731	68
5	538
384	608
421	823
579	217
469	788
544	402
109	66
49	890
885	343
231	666
284	982
876	785
704	118
482	511
472	712
104	481
399	24
987	168
396	599
335	907
493	931
446	766
28	961
554	935
279	787
116	687
501	206
621	813
825	943
891	448
483	546
720	393
584	513
748	809
583	869
567	947
828	699
544	929
414	290
541	421
518	90
527	37
591	610
175	10
369	667
103	738
924	921
839	255
867	507
782	731
367	68
411	919
197	771
745	47
1	999
490	678
769	67
273	93
177	703
566	387
466	34
818	208
691	554
451	328
134	833
744	958
551	962
732	361
772	455
653	299
711	511
445	291
293	236
821	762
334	601
916	918
5	51
55	92
180	900
948	20
998	126
875	303
15	187
20	155
984	160
436	872
457	463
688	526
652	786
82	717
739	735
795	825
424	856
82	733
520	148
844	953
575	283
500	563
535	577
876	964
595	355
700	403
96	571
684	209
383	792
911	891
572	413
932	214
687	230
382	598
777	690
793	418
104	801
616	393
760	416
332	143
972	25
218	674
715	673
572	356
35	605
808	989
605	713
494	338
16	231
936	561
797	62
339	444
134	103
226	328
401	38
780	131
524	784
573	541
72	576
849	357
289	624
617	126
684	313
890	592
956	862
719	911
136	636
258	362
511	322
533	478
259	208
219	92
901	759
530	209
157	611
667	50
935	613
144	201
298	117
224	87
516	383
980	697
874	823
255	470
822	123
617	186
110	372
705	358
472	166
597	2
310	477
420	200
687	959
755	182
927	97
666	113
160	182
32	495
500	191
413	219
770	634
881	699
778	684
912	6
820	459
329	126
897	989
30	88
245	731
613	119
265	314
872	389
644	604
852	951
509	245
291	335
332	799
592	798
733	447
258	528
981	436
895	747
162	16
938	643
929	89
590	554
653	13
270	714
692	301
514	687
370	655
75	532
279	65
383	915
598	970
767	17
519	422
845	323
54	424
554	707
717	691
327	599
231	352
472	318
925	546
802	455
159	740
95	102
714	9
77	619
925	185
219	57
582	19
950	661
127	844
125	53
580	296
520	8
733	123
26	665
722	680
535	484
670	928
640	907
621	142
547	754
725	322
929	84
597	301
614	213
380	671
304	731
262	78
235	209
343	682
756	760
417	939
106	744
102	228
770	928
110	976
466	812
587	35
405	635
222	137
274	392
836	454
993	101
627	330
148	54
570	706
296	304
917	90
518	695
694	996
822	969
726	774
454	228
957	721
954	44
605	424
711	900
616	560
911	401
533	763
587	821
140	694
448	358
315	186
167	993
707	334
312	568
53	903
601	873
582	432
21	515
425	407
55	523
591	327
770	182
175	6
517	64
179	814
269	699
276	446
518	92
732	611
462	281
324	899
873	266
658	373
262	741
669	470
308	914
29	42
460	818
686	692
59	737
779	782
630	285
149	451
611	414
489	53
842	735
834	61
257	767
101	22
28	46
363	832
125	343
530	796
998	858
860	772
588	628
885	746
531	240
547	688
87	231
737	16
391	673
885	125
791	709
428	313
251	262
786	968
759	283
974	713
352	991
506	193
947	409
586	568
403	754
694	637
518	353
768	455
880	112
862	876
269	395
432	735
710	990
383	869
712	347
991	55
853	112
179	739
795	669
426	76
257	412
514	653
456	511
714	967
222	310
257	387
473	212
279	734
779	392
163	81
728	803
396	56
614	250
414	993
289	882
488	744
437	808
696	129
983	275
414	501
849	327
317	147
314	364
669	584
116	842
498	332
401	856
542	647
879	436
61	211
1000	271
214	908
479	330
530	511
442	379
242	2
470	258
28	193
341	154
41	139
134	898
52	806
984	757
38	56
859	832
142	970
30	460
950	271
716	793
632	527
626	24
288	300
440	692
382	447
355	248
610	460
619	698
239	150
616	966
377	862
67	63
930	575
469	874
164	686
579	615
642	731
314	142
39	358
175	986
27	241
383	845
135	937
468	86
668	490
253	428
647	542
785	120
330	436
992	260
233	413
952	901
319	469
400	260
606	591
27	147
54	292
762	779
322	759
803	379
905	939
754	926
744	279
582	878
717	584
835	755
638	711
711	339
762	403
394	525
809	236
211	53
611	813
271	592
306	264
979	924
850	842
175	999
397	5
564	14
126	704
285	529
133	585
102	469
331	815
419	988
526	399
897	242
391	558
280	6
975	178
913	4
937	935
206	951
889	686
728	783
722	388
356	322
381	958
867	716
961	549
390	670
480	73
536	408
680	898
669	410
249	866
46	389
833	269
443	6
781	455
144	372
768	551
789	144
377	290
732	435
753	831
491	886
999	157
625	502
690	649
654	357
899	400
822	539
483	554
400	401
961	430
846	767
683	321
797	92
642	725
721	892
640	247
955	630
674	474
453	942
64	679
541	185
676	60
901	142
997	526
932	252
521	68
773	283
616	267
248	889
298	308
934	766
507	482
380	337
913	531
492	580
420	565
775	476
445	108
140	428
374	915
520	884
297	543
621	586
858	251
140	359
575	293
66	170
833	584
913	457
452	645
424	97
92	909
436	895
585	912
983	312
471	422
75	653
847	148
366	384
358	632
2	60
382	256
80	474
500	461
96	665
340	622
611	387
722	956
374	826
597	990
216	625
963	915
763	114
987	839
822	842
524	234
421	549
141	701
681	532
212	697
237	678
240	945
334	27
252	763
760	790
201	999
124	780
498	579
774	708
510	706
32	97
356	323
198	472
406	103
261	238
519	770
766	522
1	482
320	61
321	560
503	968
337	139
544	792
930	539
962	457
332	721
578	782
176	411
222	666
275	173
291	130
418	213
96	393
339	14
954	587
602	806
954	541
434	373
754	733
434	608
134	12
208	214
336	181
806	827
880	46
729	163
587	26
363	27
470	612
147	187
767	717
236	319
917	919
957	636
652	113
189	613
570	341
786	894
640	403
500	683
732	119
365	89
869	19
177	975
863	637
676	255
249	264
378	73
444	105
698	474
65	745
176	653
415	279
427	911
578	214
470	917
198	893
751	269
56	378
754	401
770	782
44	760
996	27
348	136
256	171
429	605
595	478
596	30
252	919
471	604
757	149
536	327
728	122
907	438
659	999
257	951
955	851
314	617
899	776
866	691
644	436
714	228
980	192
7	623
73	619
595	518
423	169
741	709
695	440
100	770
690	113
559	388
322	74
734	148
91	145
879	767
780	12
685	923
37	510
760	572
462	619
422	954
254	77
157	911
286	532
786	200
402	592
800	69
670	889
140	77
875	579
53	827
37	84
352	490
525	732
602	61
276	96
247	548
832	692
385	885
457	572
913	749
578	61
10	912
533	418
57	451
959	126
572	982
577	680
294	775
10	647
829	504
817	160
418	262
143	47
104	258
832	787
134	539
495	675
800	197
174	861
900	310
342	773
631	861
494	975
206	780
823	885
717	139
452	293
57	187
745	907
975	208
670	2
66	849
514	189
522	26
257	552
491	904
37	632
812	39
190	183
933	212
241	232
433	294
477	748
175	504
510	823
461	323
648	331
23	582
21	361
232	851
90	556
364	73
45	183
709	372
920	747
217	982
352	454
2	779
138	515
82	299
334	372
805	7
873	749
605	842
40	171
590	469
145	508
367	457
279	831
674	754
800	372
397	557
5	792
796	511
800	331
574	709
976	714
847	213
858	507
167	896
947	625
943	335
93	249
367	995
158	983
985	455
742	214
