type	id	name	attack	defense	owner
boots	1	Zathin	90	12	948
sword	2	Toughjoyfax	63	12	813
sword	3	Lotstring	87	68	308
armor	4	Zoolab	42	81	117
armor	5	Lotstring	25	36	25
sword	6	Bigtax	1	99	840
helmet	7	Flexidy	63	73	47
sword	8	Konklab	25	23	971
boots	9	Zathin	23	61	626
armor	10	Span	3	11	656
helmet	11	Voyatouch	53	9	105
sword	12	Ventosanzap	77	39	798
armor	13	Zoolab	69	7	16
sheild	14	Stim	15	89	129
gloves	15	Bytecard	9	76	453
gloves	16	Prodder	44	41	392
sword	17	Zathin	57	5	620
boots	18	Tresom	100	77	847
gloves	19	Bigtax	75	6	712
boots	20	Wrapsafe	5	37	718
sword	21	Wrapsafe	63	1	269
gloves	22	Veribet	19	14	244
boots	23	Redhold	85	31	37
gloves	24	Zathin	69	87	221
helmet	25	Fintone	46	14	453
helmet	26	Solarbreeze	64	75	324
helmet	27	Bytecard	53	40	387
boots	28	Quo Lux	38	65	276
gloves	29	Temp	54	69	834
sword	30	Sonair	53	56	367
gloves	31	Home Ing	65	10	684
boots	32	Trippledex	25	3	326
helmet	33	Bigtax	100	53	225
boots	34	Zamit	53	81	849
gloves	35	Stim	18	91	331
sheild	36	Konklab	54	14	912
sheild	37	Tempsoft	35	46	933
sheild	38	Fixflex	47	77	650
sheild	39	Otcom	37	75	290
sword	40	Viva	20	20	203
boots	41	Cardguard	33	62	326
helmet	42	Sonsing	51	54	493
boots	43	Sub-Ex	79	15	868
sword	44	Fixflex	57	62	46
boots	45	Veribet	7	98	570
gloves	46	Subin	2	16	621
sheild	47	Bamity	34	65	78
boots	48	Vagram	14	28	155
sheild	49	It	22	2	571
sheild	50	Overhold	95	17	240
boots	51	Toughjoyfax	53	24	437
sword	52	Voyatouch	85	42	13
armor	53	Temp	61	48	835
sword	54	Home Ing	11	13	441
sheild	55	Latlux	18	77	110
gloves	56	Sub-Ex	76	6	791
boots	57	Rank	74	37	529
armor	58	Tampflex	9	3	660
armor	59	Vagram	9	46	450
helmet	60	Sonsing	4	85	588
sheild	61	Fix San	66	55	350
boots	62	Overhold	91	25	373
sword	63	Alpha	10	99	82
helmet	64	Tin	4	74	434
armor	65	Redhold	100	42	251
armor	66	Sub-Ex	79	93	668
armor	67	Prodder	30	99	416
sword	68	Solarbreeze	40	50	73
sheild	69	Holdlamis	20	84	170
helmet	70	Y-Solowarm	58	21	722
sheild	71	Keylex	21	73	408
gloves	72	Ventosanzap	16	33	488
armor	73	Stringtough	63	18	195
sword	74	Fix San	66	13	988
helmet	75	Bytecard	4	84	367
sheild	76	Rank	57	75	544
gloves	77	Opela	89	60	630
helmet	78	Namfix	82	21	969
helmet	79	Veribet	81	95	830
boots	80	Biodex	37	36	38
armor	81	Wrapsafe	96	38	228
sheild	82	Matsoft	98	41	816
boots	83	Tin	64	38	369
gloves	84	Y-Solowarm	58	84	988
sword	85	It	24	2	786
sheild	86	Solarbreeze	56	12	34
gloves	87	Domainer	40	26	547
boots	88	Matsoft	11	86	330
gloves	89	Konklux	55	70	387
boots	90	Zoolab	42	9	765
helmet	91	Overhold	30	92	654
gloves	92	Namfix	80	15	107
sheild	93	Domainer	98	44	986
helmet	94	Gembucket	45	29	174
gloves	95	It	93	97	875
sheild	96	Quo Lux	37	20	1
boots	97	Lotlux	18	26	516
sheild	98	Namfix	76	50	594
boots	99	Voltsillam	16	41	216
sheild	100	Treeflex	45	48	732
helmet	101	Trippledex	60	89	747
boots	102	Job	96	47	458
boots	103	Aerified	60	99	530
sword	104	Bitwolf	11	69	916
sheild	105	Subin	89	44	386
armor	106	Zaam-Dox	40	2	25
gloves	107	Andalax	79	51	770
sword	108	Zontrax	85	78	860
armor	109	Lotstring	11	26	598
sheild	110	Stim	61	8	463
sword	111	Opela	35	24	587
gloves	112	Mat Lam Tam	31	80	237
gloves	113	Viva	23	50	664
helmet	114	Toughjoyfax	97	26	412
sword	115	Domainer	1	44	86
boots	116	Ventosanzap	94	26	744
sheild	117	Cardify	58	1	305
sword	118	Veribet	65	75	397
sheild	119	Overhold	4	58	878
sword	120	Flowdesk	42	26	240
gloves	121	Keylex	78	24	359
gloves	122	Zoolab	8	0	567
sheild	123	It	71	3	953
boots	124	Holdlamis	83	58	491
sheild	125	Bytecard	54	92	76
sheild	126	Prodder	59	38	94
helmet	127	Bitwolf	30	26	359
helmet	128	Stringtough	86	1	949
gloves	129	Voltsillam	36	30	879
armor	130	Greenlam	28	1	858
helmet	131	Zamit	8	56	977
boots	132	Fix San	84	27	910
helmet	133	Tresom	30	17	559
armor	134	Regrant	38	18	988
sheild	135	Bamity	15	46	522
gloves	136	Job	63	46	130
sheild	137	Kanlam	21	60	51
boots	138	Zamit	87	79	907
boots	139	Temp	76	5	777
armor	140	Rank	3	57	906
armor	141	Voltsillam	55	56	270
gloves	142	Matsoft	70	98	568
gloves	143	Bigtax	39	97	166
boots	144	Sub-Ex	98	100	481
sheild	145	Lotlux	23	64	660
boots	146	Duobam	62	63	17
helmet	147	Temp	5	57	937
sheild	148	Stim	7	20	603
gloves	149	Tresom	36	43	796
sword	150	Duobam	63	99	973
boots	151	Cookley	35	59	858
armor	152	Holdlamis	19	20	421
gloves	153	Konklab	43	9	299
armor	154	Biodex	79	81	232
gloves	155	Alpha	73	30	678
boots	156	Regrant	93	22	186
sheild	157	Stringtough	53	50	86
helmet	158	Zamit	12	14	791
boots	159	Zathin	90	87	706
sword	160	Alphazap	16	38	646
sword	161	Wrapsafe	53	51	45
armor	162	Holdlamis	96	54	439
sheild	163	Stringtough	27	48	489
boots	164	Andalax	27	52	779
gloves	165	Job	68	67	226
boots	166	Duobam	34	80	753
gloves	167	Flexidy	86	79	592
helmet	168	Lotlux	41	17	636
sheild	169	Biodex	55	2	130
armor	170	Span	30	44	343
sword	171	Transcof	39	9	358
armor	172	Lotstring	37	95	114
sword	173	It	42	93	174
armor	174	It	94	29	760
gloves	175	Treeflex	38	94	299
gloves	176	Rank	46	50	970
armor	177	Trippledex	22	72	507
gloves	178	Tampflex	16	0	248
armor	179	Andalax	10	25	264
sheild	180	It	38	83	771
sword	181	Lotlux	16	3	699
sword	182	Overhold	88	81	716
sheild	183	Bamity	65	81	634
boots	184	Namfix	61	36	775
gloves	185	Flowdesk	10	86	712
boots	186	Prodder	17	74	697
armor	187	Mat Lam Tam	28	76	400
sword	188	Home Ing	87	23	755
sheild	189	Konklab	52	0	627
armor	190	Subin	8	33	623
boots	191	Alphazap	29	85	306
gloves	192	Namfix	24	62	372
boots	193	Quo Lux	31	95	650
gloves	194	Cardify	82	35	2
boots	195	Voyatouch	26	86	45
helmet	196	Zoolab	54	51	958
boots	197	Bitchip	99	9	341
sheild	198	Biodex	48	27	642
gloves	199	Rank	77	72	768
sheild	200	Latlux	94	32	244
sheild	201	Hatity	13	66	87
helmet	202	Tempsoft	99	10	615
gloves	203	Tempsoft	89	80	275
armor	204	Aerified	75	31	524
sword	205	Lotlux	97	41	212
armor	206	It	29	30	13
helmet	207	Alphazap	5	76	373
armor	208	Asoka	6	89	504
sword	209	Zamit	23	33	329
armor	210	Zoolab	52	91	297
helmet	211	Otcom	9	83	849
armor	212	Tampflex	79	79	356
armor	213	Veribet	82	85	13
sword	214	Zathin	35	48	324
sheild	215	Fix San	98	5	494
gloves	216	Stim	19	67	108
