player1	player2	winner
187	338	338
600	960	960
440	964	440
527	848	527
728	737	728
678	952	678
836	511	511
782	158	782
413	949	949
670	210	210
462	589	462
269	930	930
823	500	823
768	649	649
457	614	614
628	396	396
373	407	373
816	443	443
66	918	918
47	840	840
262	674	262
999	802	999
632	630	630
83	954	954
952	95	95
87	546	546
373	304	304
25	780	25
571	298	298
582	609	582
62	192	62
626	991	991
143	696	143
953	664	953
243	866	866
407	546	546
456	585	585
604	111	604
197	803	803
697	936	697
484	635	635
336	403	336
396	812	396
979	413	979
943	196	943
521	589	589
855	760	760
704	764	704
92	226	226
738	85	738
160	357	357
25	785	785
510	617	617
820	190	190
649	767	649
764	432	764
229	911	911
7	386	7
540	278	278
313	611	611
816	781	781
427	172	427
996	239	239
94	174	174
63	871	871
512	122	122
648	232	232
983	127	983
824	13	824
489	97	97
328	200	200
301	317	301
463	526	526
640	433	640
652	871	871
758	591	758
368	995	995
8	794	794
52	319	52
781	494	494
766	832	766
71	814	814
721	394	721
667	404	667
80	971	971
745	45	45
973	447	973
743	293	743
417	567	417
555	929	555
498	248	248
686	322	686
793	726	793
612	18	18
184	764	764
108	981	981
283	56	283
318	718	318
148	69	69
522	538	538
676	703	703
733	176	733
310	615	615
340	82	340
253	983	253
835	215	215
117	80	80
615	934	615
300	956	956
127	115	115
751	585	751
964	926	964
475	789	789
571	495	495
181	594	181
681	989	989
145	310	310
814	713	814
428	608	428
980	636	636
125	147	147
311	397	397
112	46	112
597	680	680
287	622	622
117	99	99
233	986	233
433	932	433
574	426	574
386	467	386
214	556	214
990	436	436
314	171	314
651	562	651
665	548	665
910	446	446
161	878	161
903	172	903
33	991	33
66	940	940
115	173	173
940	541	541
428	240	428
478	24	24
219	408	219
624	452	452
481	18	18
157	173	157
348	474	474
235	318	318
377	70	377
635	807	807
603	607	607
373	520	373
754	863	863
439	613	439
113	239	239
790	592	790
367	302	302
805	148	148
221	64	64
192	137	192
163	381	163
611	185	185
581	662	581
77	770	77
890	163	890
911	309	309
184	356	184
762	192	192
110	448	448
359	540	359
458	706	706
117	753	753
179	497	179
488	465	488
115	510	510
54	421	54
976	98	976
163	327	163
17	804	804
746	418	418
769	813	769
943	17	17
168	113	113
971	659	971
278	315	278
365	719	719
706	877	706
561	237	237
413	327	413
351	790	351
502	747	747
193	264	193
70	610	70
570	582	570
251	754	251
62	423	423
394	576	394
45	572	572
566	383	566
933	503	933
733	33	33
283	904	904
321	443	443
281	767	767
956	938	956
972	457	972
263	23	263
552	526	552
607	987	607
910	337	910
154	696	696
455	878	878
500	138	500
296	10	10
39	570	39
868	734	868
513	175	513
978	344	344
949	166	949
407	723	723
121	570	570
25	792	792
589	655	589
556	580	556
176	578	578
13	620	620
612	987	987
955	560	955
616	603	603
562	4	562
627	485	485
797	596	797
891	230	891
114	798	114
827	618	827
582	948	582
312	400	400
188	809	809
118	966	118
117	595	595
646	162	162
691	174	174
619	587	587
628	705	628
97	98	97
448	895	895
505	822	505
143	621	621
992	845	992
126	936	126
57	243	243
829	819	829
495	369	495
821	668	821
89	787	787
413	833	413
336	88	88
403	828	828
729	182	729
957	800	957
549	134	549
954	697	954
124	706	706
534	451	534
661	843	843
910	923	923
44	531	531
306	514	306
531	869	869
871	98	871
546	513	546
663	858	858
17	48	17
638	984	984
741	671	671
869	365	365
496	758	758
394	88	88
200	567	200
640	427	640
365	253	365
488	301	488
292	446	292
385	347	347
727	540	540
63	488	63
286	108	108
475	756	475
849	915	849
675	441	675
353	845	353
568	848	848
950	4	950
492	722	492
426	179	179
783	494	783
167	747	747
10	232	232
173	91	91
587	107	107
853	455	455
817	796	817
226	852	226
751	342	342
890	608	608
749	382	382
882	786	882
579	231	579
556	490	490
846	929	846
574	12	574
328	310	310
209	17	209
801	375	801
178	398	178
557	543	557
244	767	244
202	839	839
440	737	440
774	475	774
649	639	639
781	171	171
606	721	606
366	947	366
458	166	166
100	484	100
269	58	269
47	205	47
805	369	369
718	646	646
303	141	141
699	114	114
677	577	677
571	904	904
772	695	695
474	833	833
76	678	76
668	437	668
104	627	627
239	431	431
866	777	777
65	424	424
909	669	909
79	563	563
975	924	924
494	175	175
707	271	271
74	897	897
11	260	260
650	293	650
299	315	315
788	775	775
414	948	948
680	707	680
324	292	324
307	279	279
745	225	225
335	784	784
103	731	731
195	461	195
207	661	661
465	735	735
274	768	768
823	871	871
887	360	887
584	388	584
765	890	765
196	565	565
242	498	242
860	88	860
586	986	986
782	167	167
867	192	867
352	357	357
66	292	292
608	364	608
399	111	111
594	716	716
705	114	114
517	920	517
198	573	573
62	266	266
949	290	290
31	939	31
442	885	442
913	603	913
712	237	237
842	817	817
743	685	743
214	733	214
769	697	769
528	479	528
445	882	445
17	998	17
160	198	160
734	235	235
519	352	352
421	952	952
643	644	643
231	482	482
906	323	906
308	826	826
538	962	962
243	294	294
892	95	892
414	698	698
559	495	559
861	725	725
643	456	643
24	229	229
428	943	428
469	304	304
737	874	874
235	108	108
647	7	7
954	993	954
12	485	485
523	932	932
663	206	206
628	158	628
251	983	251
92	727	92
414	880	880
568	147	147
403	931	931
633	844	844
385	267	385
88	702	88
929	566	929
915	485	915
20	746	20
53	437	53
152	291	291
687	282	282
886	520	520
434	271	271
771	498	498
540	328	540
237	787	787
765	705	765
512	128	128
696	804	696
633	528	633
685	420	685
147	822	147
675	217	675
450	693	450
91	517	91
736	610	736
817	299	299
748	872	872
150	422	422
482	610	610
410	162	162
119	508	119
978	444	978
176	969	176
46	602	46
776	475	475
346	321	346
449	142	142
895	75	75
948	821	948
169	153	153
39	766	766
298	151	298
527	445	527
521	941	941
24	34	24
727	619	619
681	108	681
39	3	3
477	119	477
115	994	115
795	346	795
466	924	924
218	845	845
622	55	622
354	147	147
8	940	8
487	285	487
370	740	740
780	133	133
147	341	147
392	39	392
949	598	949
911	204	204
422	466	466
645	992	992
275	142	275
735	6	6
436	795	795
1	452	1
863	194	194
487	189	189
19	508	508
674	765	765
770	134	134
