player	title
44	Organized
75	Centralized
74	knowledge base
3	6th generation
91	Innovative
59	Open-source
26	static
27	access
99	reciprocal
3	hardware
51	contextually-based
72	background
17	focus group
44	grid-enabled
53	forecast
65	capacity
46	concept
67	policy
63	artificial intelligence
15	Re-contextualized
22	neutral
83	hub
69	Team-oriented
23	optimizing
100	5th generation
62	explicit
44	object-oriented
14	well-modulated
72	Cloned
84	open system
28	migration
28	secured line
15	attitude
10	demand-driven
11	synergy
12	Quality-focused
62	asymmetric
23	leading edge
47	Multi-lateral
13	model
34	leading edge
16	uniform
92	toolset
66	orchestration
8	Devolved
52	firmware
64	hierarchy
54	composite
48	matrices
94	portal
86	upward-trending
77	benchmark
79	Re-contextualized
88	task-force
40	context-sensitive
26	secured line
1	eco-centric
37	Diverse
2	needs-based
77	homogeneous
5	attitude
87	Open-source
60	Adaptive
100	fault-tolerant
84	Phased
32	24/7
94	Visionary
94	service-desk
18	client-server
27	motivating
19	logistical
39	homogeneous
81	Synchronised
53	user-facing
43	matrices
69	Focused
87	encoding
77	Right-sized
26	projection
83	Right-sized
30	strategy
62	access
95	Programmable
45	Seamless
11	concept
37	Graphical User Interface
86	motivating
70	service-desk
34	Synchronised
85	approach
28	Extended
5	interactive
18	multi-state
1	intermediate
2	Decentralized
3	database
22	framework
52	bi-directional
95	Devolved
52	Universal
84	success
6	Adaptive
63	Multi-tiered
13	matrices
32	24 hour
50	open architecture
79	actuating
7	needs-based
53	Intuitive
56	superstructure
64	local area network
74	Open-architected
90	conglomeration
91	data-warehouse
84	focus group
47	ability
87	asynchronous
15	success
74	modular
83	Reactive
75	Grass-roots
62	projection
57	bottom-line
91	Compatible
24	model
81	Streamlined
85	Vision-oriented
42	Up-sized
43	client-server
87	Business-focused
25	interactive
54	upward-trending
45	Quality-focused
32	architecture
10	24/7
82	global
42	open architecture
77	time-frame
74	Cloned
63	Function-based
51	scalable
100	help-desk
88	user-facing
14	paradigm
33	24/7
17	exuding
26	system-worthy
3	maximized
91	Ameliorated
20	approach
60	upward-trending
39	standardization
58	Customizable
22	well-modulated
76	conglomeration
73	Sharable
35	responsive
63	Phased
72	Enterprise-wide
64	Organic
60	website
65	didactic
17	grid-enabled
55	Up-sized
76	hardware
72	Mandatory
65	help-desk
82	intranet
83	intangible
11	bottom-line
72	exuding
57	cohesive
45	high-level
46	scalable
98	application
90	Polarised
85	Organized
72	intermediate
44	adapter
28	frame
86	intranet
93	Polarised
7	Universal
2	contextually-based
33	Virtual
85	methodology
70	functionalities
4	Horizontal
28	systemic
61	complexity
90	bi-directional
11	Diverse
99	Enhanced
68	Monitored
61	regional
98	mission-critical
95	Visionary
87	capability
84	clear-thinking
67	Realigned
38	Profound
82	didactic
87	Versatile
83	website
14	Compatible
81	internet solution
53	dynamic
12	Open-source
97	Open-source
2	strategy
2	attitude
68	analyzing
4	parallelism
70	complexity
100	core
68	De-engineered
48	artificial intelligence
75	Re-contextualized
64	well-modulated
51	global
39	website
35	Secured
9	asynchronous
7	real-time
73	database
87	Right-sized
69	national
65	Focused
48	extranet
82	grid-enabled
59	structure
41	contextually-based
100	Phased
28	Up-sized
78	circuit
29	projection
71	intranet
12	dynamic
60	Enterprise-wide
61	mobile
76	De-engineered
66	Front-line
58	Organized
85	Exclusive
54	Centralized
72	Balanced
53	systematic
30	Sharable
50	coherent
93	encompassing
24	framework
18	multi-state
67	artificial intelligence
87	Reduced
8	Switchable
17	maximized
79	maximized
60	modular
24	responsive
24	bi-directional
36	attitude-oriented
34	fault-tolerant
27	Persistent
51	Customizable
54	analyzing
25	Organized
76	holistic
60	strategy
70	contextually-based
86	Mandatory
79	Cross-platform
22	systematic
82	global
84	synergy
47	toolset
44	Monitored
20	Synergized
50	instruction set
66	bifurcated
31	Operative
96	Configurable
37	system engine
73	synergy
93	parallelism
79	scalable
98	Enhanced
26	Pre-emptive
6	conglomeration
8	dedicated
20	Devolved
68	full-range
83	application
1	database
91	multimedia
54	forecast
92	capacity
54	workforce
51	multi-state
75	multimedia
99	extranet
16	Advanced
63	logistical
23	Advanced
91	Intuitive
20	local area network
64	non-volatile
8	framework
9	De-engineered
42	4th generation
22	challenge
51	firmware
45	success
75	Enhanced
64	Face to face
42	intermediate
67	multi-state
54	multi-state
68	responsive
90	reciprocal
81	non-volatile
13	Versatile
45	matrices
86	Optional
37	system engine
15	methodology
68	neutral
37	Managed
50	moratorium
100	24 hour
79	algorithm
16	Graphical User Interface
32	multi-state
42	database
69	Switchable
45	grid-enabled
68	needs-based
51	Upgradable
83	instruction set
61	open system
1	Enterprise-wide
90	Pre-emptive
11	Robust
87	methodical
64	process improvement
45	pricing structure
32	conglomeration
24	approach
49	Versatile
28	Devolved
78	User-centric
5	Down-sized
50	encoding
98	contingency
8	encoding
65	Multi-lateral
59	zero tolerance
45	encryption
62	Triple-buffered
14	policy
22	next generation
63	demand-driven
76	uniform
87	Adaptive
82	non-volatile
74	system engine
36	flexibility
45	Streamlined
79	Graphic Interface
99	Total
18	homogeneous
27	heuristic
90	Future-proofed
88	framework
5	Future-proofed
61	Fundamental
14	solution-oriented
36	service-desk
32	Realigned
38	budgetary management
54	logistical
86	non-volatile
79	Open-architected
17	strategy
13	Fully-configurable
94	high-level
59	frame
46	Focused
85	encryption
76	24/7
86	hardware
44	Cloned
15	Reactive
18	multi-state
12	context-sensitive
88	definition
75	stable
9	capacity
29	bottom-line
57	Proactive
