mission	type
1	helmet
10	gloves
25	gloves
40	boots
20	gloves
42	armor
49	gloves
42	sword
2	sword
48	helmet
32	boots
14	helmet
21	helmet
37	sword
23	sheild
25	armor
22	sword
18	armor
23	sword
26	helmet
1	sheild
33	gloves
49	helmet
21	sword
14	helmet
27	boots
17	boots
47	boots
37	helmet
34	sheild
42	sheild
45	helmet
6	armor
24	helmet
48	armor
12	sheild
3	helmet
26	helmet
13	sheild
9	helmet
41	sword
44	sword
50	sheild
12	armor
32	sheild
17	helmet
4	sheild
16	gloves
25	sheild
17	boots
12	sword
46	sheild
21	sheild
48	boots
27	helmet
14	helmet
14	boots
30	helmet
9	gloves
2	boots
32	boots
29	helmet
2	sword
46	sheild
45	gloves
4	helmet
30	boots
8	boots
8	boots
29	gloves
38	gloves
47	armor
1	boots
14	sword
28	helmet
8	gloves
36	sword
34	boots
7	gloves
31	helmet
45	gloves
41	helmet
19	boots
5	gloves
1	sword
39	sword
46	sword
4	helmet
9	armor
40	sword
21	helmet
33	armor
4	armor
1	gloves
49	boots
33	boots
3	armor
18	armor
36	helmet
32	sheild
