name	members	wins	losses
Vitz	2	47	32
Skipfire	11	92	52
Twiyo	34	65	53
Browsetype	20	86	57
Jabbersphere	46	84	23
Skivee	50	66	76
Trilith	4	31	97
Oyope	26	12	45
Brainsphere	25	80	66
Browsebug	2	33	50
Devify	36	42	31
Avamba	18	70	14
Oyoba	38	88	15
Zava	10	99	48
Mybuzz	32	27	35
Dabvine	2	81	85
Skibox	30	50	16
Realfire	34	50	36
Janyx	12	5	95
Lazz	2	46	75
Mudo	41	20	89
Yakitri	45	7	76
Geba	49	94	86
Eare	41	74	69
Kazio	48	58	92
Yoveo	43	88	61
Mydeo	27	75	28
Fadeo	39	33	13
Realblab	26	68	28
Browsecat	27	54	35
Muxo	11	19	85
Realblab	3	63	47
Quatz	11	38	71
Geba	26	82	44
Linkbridge	35	97	58
Yakitri	25	100	11
Quinu	27	20	64
Eabox	8	25	31
Fivechat	27	70	83
Photolist	45	49	46
Tazz	26	53	1
Fivebridge	50	97	57
Podcat	8	84	95
Edgetag	34	72	11
Zava	21	33	8
Zoozzy	16	97	11
Dabfeed	37	7	91
Twitternation	4	39	55
Dabtype	24	85	65
Thoughtmix	29	98	11
Digitube	21	68	66
Bubblemix	23	43	75
Gabtune	30	41	39
Gigabox	24	89	43
Avaveo	40	99	4
Npath	6	66	76
Voolia	45	37	53
Babbleblab	29	53	37
Quinu	8	58	82
Feedbug	10	96	6
Babbleopia	10	12	96
Buzzdog	11	99	6
Dabshots	4	7	62
Babbleopia	47	94	21
Twinder	36	93	79
Devpoint	27	38	39
Kwimbee	4	22	67
Meeveo	16	56	73
Yodel	23	28	57
Fanoodle	43	73	35
Buzzdog	30	100	54
Roomm	6	98	38
Gabspot	24	72	55
Yozio	43	99	21
Blogtag	37	91	87
Kayveo	7	26	65
Ntag	29	89	97
Latz	22	88	54
Yadel	7	16	41
Topiczoom	28	75	1
Twitterbeat	44	44	91
Fatz	4	67	52
Linklinks	41	9	71
Youtags	26	2	97
Youfeed	40	42	26
Tazzy	43	88	57
Tagtune	22	99	86
Twitterworks	48	10	14
Quatz	6	41	58
Buzzbean	6	36	81
Jabbercube	28	9	16
Zoomzone	13	65	54
Flipbug	39	67	56
Skynoodle	36	76	93
Yambee	36	97	81
Digitube	11	9	76
Leexo	1	78	80
Flashspan	35	78	83
Reallinks	26	1	22
Minyx	15	5	18
