team1	team2	winner
52	79	79
64	53	64
46	22	46
44	53	53
28	9	28
78	71	78
66	33	33
18	81	18
48	69	69
95	7	95
10	71	10
28	44	28
9	93	9
48	15	15
38	40	40
91	39	39
88	10	88
42	69	69
21	69	69
88	72	88
13	6	6
95	11	95
47	3	47
73	91	91
73	4	73
53	98	53
4	53	53
95	95	95
62	89	89
23	2	2
46	100	100
28	63	28
62	54	62
100	79	79
45	90	45
92	71	92
28	4	4
92	80	80
19	14	19
54	61	61
75	24	24
86	42	86
15	100	100
10	73	10
49	27	49
49	59	59
90	62	90
41	44	44
97	85	97
24	83	24
1	55	1
6	39	6
26	97	97
43	96	43
23	76	76
10	55	55
92	95	95
10	97	97
84	79	79
89	48	89
39	84	84
1	41	1
53	9	9
20	72	20
67	11	11
67	49	49
1	4	1
67	14	67
78	49	49
19	24	24
18	67	18
52	36	52
50	79	50
2	41	41
85	78	85
6	98	98
60	60	60
55	87	55
81	94	94
100	14	14
6	18	6
99	22	22
53	21	53
78	25	78
6	7	6
93	13	13
88	38	38
12	88	12
13	40	40
71	78	71
67	40	40
22	77	22
72	31	72
60	70	70
29	72	72
17	3	17
50	81	81
89	2	2
93	36	36
53	52	52
78	86	86
65	65	65
12	3	12
90	54	54
2	48	2
76	23	23
41	49	41
6	87	87
60	60	60
2	29	29
36	59	59
62	52	52
95	24	95
70	57	57
88	96	96
73	69	73
78	46	46
21	35	35
5	7	5
87	41	87
82	56	56
55	74	55
36	96	96
34	84	34
31	96	96
77	64	64
21	70	70
76	71	71
13	63	63
57	73	73
2	73	2
62	42	42
45	70	45
86	94	94
8	18	8
10	46	46
37	52	52
64	80	80
73	62	62
23	69	69
54	62	54
30	75	75
1	73	73
69	72	72
32	88	88
16	84	16
70	72	70
97	82	82
57	16	57
29	45	29
11	4	11
26	60	26
58	84	58
54	10	54
92	21	21
73	69	69
60	25	25
31	27	31
66	97	97
76	54	76
45	70	45
77	51	77
96	16	16
30	85	30
21	27	21
46	84	46
24	14	14
94	93	93
51	82	51
18	15	18
54	69	54
26	55	26
17	84	84
26	100	100
85	89	85
58	81	81
75	62	62
9	72	72
87	35	35
45	49	45
76	91	76
28	34	28
92	97	92
67	9	9
93	31	31
87	30	30
49	3	3
96	53	96
10	37	37
35	4	4
5	80	5
48	38	48
28	19	19
52	79	52
2	89	89
90	95	95
46	78	78
43	40	40
1	36	1
62	22	22
11	86	11
80	94	80
72	32	72
18	52	52
91	28	28
75	53	75
1	2	2
86	20	20
77	96	77
48	67	48
83	44	83
8	33	8
33	77	77
83	94	94
24	91	91
93	3	3
72	25	72
96	16	16
72	17	72
60	36	36
55	54	54
55	62	62
81	37	81
96	71	71
8	60	8
90	27	90
88	80	80
97	49	97
28	63	63
21	30	21
75	44	44
87	43	43
35	90	35
56	96	56
74	88	88
53	75	75
38	69	69
70	29	70
48	4	48
65	75	65
60	63	60
35	84	35
95	30	95
31	87	87
96	92	92
66	2	66
78	45	78
32	5	5
31	3	3
8	90	8
23	31	23
79	49	49
27	76	27
39	3	39
32	52	32
1	31	1
5	78	78
89	65	89
75	54	75
26	92	92
33	93	93
38	37	38
20	88	20
95	80	95
48	61	61
57	90	57
93	98	93
32	72	72
83	26	83
2	79	79
25	94	94
23	27	23
5	45	45
69	18	18
57	57	57
93	100	100
4	75	4
54	38	38
75	43	43
54	17	17
52	70	70
81	45	45
8	31	8
96	18	18
98	17	98
46	13	13
44	38	38
19	9	19
75	51	51
44	88	88
49	96	96
30	21	30
72	49	49
37	13	37
92	41	92
71	88	71
60	86	86
6	19	6
60	79	60
75	40	40
26	49	26
81	72	81
39	52	52
58	63	63
46	99	46
78	7	78
75	99	75
82	7	82
60	87	87
100	54	54
68	7	68
37	64	37
21	83	83
68	1	68
70	88	70
1	52	1
20	28	28
11	69	11
60	81	81
95	1	1
64	56	56
42	8	42
79	81	81
23	87	87
11	58	58
52	12	52
96	11	11
46	57	46
96	27	27
75	57	75
60	8	60
10	15	15
98	25	25
80	7	80
33	80	33
93	41	93
67	17	67
77	17	17
94	15	94
12	59	59
85	7	85
49	78	78
69	97	69
13	81	13
82	71	82
88	63	88
67	10	67
6	3	6
30	1	1
79	58	79
55	45	45
38	41	38
63	21	63
62	95	95
74	74	74
29	93	29
30	24	24
46	20	20
51	46	46
92	37	92
6	91	6
82	5	82
8	95	8
52	13	13
81	84	81
36	48	36
75	67	67
42	82	42
17	51	51
10	8	10
93	39	39
28	27	28
96	93	96
18	73	73
95	74	74
35	50	50
76	84	76
35	100	100
54	35	35
64	47	64
85	53	53
11	40	11
4	41	41
51	56	56
5	60	5
70	16	16
98	12	12
85	22	85
13	32	13
33	68	68
7	36	7
10	53	53
45	96	96
69	8	8
68	97	97
24	96	96
10	99	99
74	74	74
80	15	80
99	71	71
17	60	60
57	11	57
57	96	57
80	51	80
86	100	100
78	87	87
99	88	88
55	90	90
4	22	22
99	19	99
42	9	42
89	89	89
43	89	43
41	46	46
27	1	27
47	7	7
95	30	95
57	84	84
37	34	34
1	98	98
59	34	34
22	86	22
34	40	34
78	58	78
70	99	99
32	74	74
3	66	3
74	30	30
19	57	57
50	40	50
47	32	47
92	4	4
49	72	49
22	9	22
76	19	76
28	68	28
19	30	19
73	80	80
17	70	17
12	43	43
27	33	27
13	8	8
98	29	29
24	42	42
37	24	37
54	14	54
87	37	87
50	76	76
46	32	32
92	34	34
58	52	58
23	100	23
70	14	14
55	22	55
18	31	18
48	51	51
93	43	43
50	51	51
9	35	35
2	31	2
51	58	58
93	91	91
27	52	27
45	70	45
92	35	35
3	40	40
14	80	14
38	30	30
71	64	64
39	58	39
52	49	49
73	87	73
13	11	13
27	67	27
32	83	83
17	28	17
34	47	34
98	84	98
47	5	47
88	74	88
62	91	91
46	13	46
33	31	31
44	19	44
28	74	74
17	70	17
40	43	43
21	15	15
36	60	60
80	23	23
81	35	35
7	40	7
91	36	91
40	57	40
36	59	59
31	9	9
98	78	78
46	63	46
25	73	25
98	20	20
